arm,seed,step,E0/n,E0/success,E0/mean_steps,E1v/n,E1v/success,E1v/mean_steps,E2v/n,E2v/success,E2v/mean_steps,E3v/n,E3v/success,E3v/mean_steps,E4v/n,E4v/success,E4v/mean_steps,E6/n,E6/success,E6/mean_steps,E7/n,E7/success,E7/mean_steps
A,2,122880,282,0.19148936170212766,304.2836879432624,100,0.0,136.15,100,0.0,128.78,100,0.0,119.36,50,0.0,99.78,250,0.0,127.62,100,0.18,292.25
A,2,184320,282,0.2801418439716312,343.22340425531917,100,0.0,134.18,100,0.0,131.2,100,0.0,116.99,50,0.0,103.54,250,0.0,126.028,100,0.32,350.72
A,2,245760,282,0.09219858156028368,255.93262411347519,100,0.0,111.94,100,0.0,109.58,100,0.0,102.17,50,0.0,92.86,250,0.0,107.696,100,0.07,268.78
A,2,307200,282,0.8829787234042553,487.56382978723406,100,0.86,449.53,100,0.89,464.1,100,0.86,456.76,50,0.76,415.14,250,0.884,458.628,100,0.89,493.64
A,2,368640,282,0.9929078014184397,498.26241134751774,100,0.78,409.66,100,0.82,426.0,100,0.81,421.73,50,0.82,427.02,250,0.76,403.936,100,1.0,500.0
A,2,430080,282,0.648936170212766,434.3758865248227,100,0.37,276.94,100,0.37,273.71,100,0.39,270.64,50,0.18,181.04,250,0.392,277.684,100,0.61,435.28
A,2,491520,282,0.9893617021276596,496.6276595744681,100,0.48,279.5,100,0.63,342.1,100,0.55,306.8,50,0.72,379.46,250,0.536,301.988,100,1.0,500.0
A,2,552960,282,0.9787234042553191,491.51418439716315,100,0.0,56.42,100,0.0,56.46,100,0.0,54.32,50,0.0,49.96,250,0.0,56.688,100,0.99,495.43
A,2,614400,282,0.9893617021276596,496.65248226950354,100,0.84,435.56,100,0.87,447.21,100,0.78,409.63,50,0.66,366.42,250,0.86,443.368,100,1.0,500.0
A,21,61440,282,0.05673758865248227,233.2695035460993,100,0.0,111.73,100,0.0,108.64,100,0.0,101.72,50,0.0,91.54,250,0.0,106.996,100,0.02,223.09
A,21,122880,282,0.20567375886524822,322.709219858156,100,0.18,236.1,100,0.21,240.34,100,0.07,181.19,50,0.06,149.18,250,0.108,213.588,100,0.26,344.13
A,21,184320,282,0.24822695035460993,326.3404255319149,100,0.0,132.89,100,0.0,129.84,100,0.0,114.36,50,0.0,101.02,250,0.0,123.792,100,0.28,335.13
A,21,245760,282,0.5957446808510638,434.62056737588654,100,0.0,185.37,100,0.0,166.24,100,0.0,131.14,50,0.0,98.4,250,0.0,151.844,100,0.64,438.15
A,21,307200,282,0.9893617021276596,495.6666666666667,100,0.31,201.67,100,0.36,226.73,100,0.26,180.08,50,0.24,167.12,250,0.288,195.064,100,1.0,500.0
A,21,368640,282,0.9822695035460993,494.2730496453901,100,0.15,129.26,100,0.18,146.96,100,0.08,95.64,50,0.14,118.2,250,0.128,118.928,100,1.0,500.0
A,21,430080,282,0.9893617021276596,495.2730496453901,100,0.0,56.91,100,0.0,57.41,100,0.0,55.01,50,0.0,51.38,250,0.0,57.444,100,1.0,500.0
A,21,491520,282,0.9645390070921985,485.37943262411346,100,0.0,55.78,100,0.0,55.96,100,0.0,54.02,50,0.0,49.82,250,0.0,56.324,100,1.0,500.0
A,21,552960,282,0.9326241134751773,483.7411347517731,100,0.46,262.99,100,0.44,255.18,100,0.51,283.96,50,0.48,272.96,250,0.492,277.604,100,0.98,496.57
A,21,614400,282,0.8262411347517731,458.1063829787234,100,0.55,337.6,100,0.49,330.16,100,0.31,255.4,50,0.18,193.7,250,0.44,305.692,100,0.92,478.92
A,22,61440,282,0.4645390070921986,405.6489361702128,100,0.0,176.43,100,0.0,172.44,100,0.0,150.77,50,0.0,123.28,250,0.0,164.748,100,0.47,400.87
A,22,122880,282,0.24822695035460993,311.9609929078014,100,0.0,110.99,100,0.0,107.59,100,0.0,99.55,50,0.0,89.52,250,0.0,105.64,100,0.14,292.07
A,22,184320,282,0.4574468085106383,404.88652482269504,100,0.0,149.87,100,0.0,144.08,100,0.0,129.37,50,0.0,109.78,250,0.0,139.896,100,0.44,402.8
A,22,245760,282,0.9645390070921985,495.9468085106383,100,0.92,468.96,100,0.95,479.76,100,0.92,467.1,50,0.8,417.24,250,0.928,471.348,100,0.95,497.11
A,22,307200,282,0.9893617021276596,496.9609929078014,100,0.87,446.74,100,0.87,447.24,100,0.81,421.36,50,0.68,366.38,250,0.872,448.768,100,1.0,500.0
A,22,368640,282,0.1453900709219858,278.57801418439715,100,0.11,157.61,100,0.07,145.02,100,0.03,117.66,50,0.02,97.5,250,0.048,131.66,100,0.18,271.84
A,22,430080,282,0.9858156028368794,496.4503546099291,100,0.37,225.1,100,0.38,229.07,100,0.44,255.58,50,0.5,280.34,250,0.412,243.696,100,0.99,499.86
A,22,491520,282,0.9042553191489362,478.63120567375887,100,0.73,392.74,100,0.78,413.37,100,0.66,361.76,50,0.36,235.92,250,0.696,379.192,100,0.97,494.08
A,22,552960,282,0.9609929078014184,490.48581560283685,100,0.65,359.62,100,0.67,368.19,100,0.47,285.95,50,0.22,177.92,250,0.588,335.104,100,0.97,497.67
A,22,614400,282,0.9858156028368794,495.13475177304963,100,0.0,55.62,100,0.0,55.54,100,0.0,53.77,50,0.0,49.58,250,0.0,55.948,100,1.0,500.0
A,19,61440,282,0.0425531914893617,197.79432624113474,100,0.0,102.29,100,0.0,99.63,100,0.0,95.6,50,0.0,87.48,250,0.0,99.46,100,0.04,178.93
A,19,122880,282,0.7907801418439716,479.15602836879435,100,0.0,65.84,100,0.0,69.6,100,0.0,58.94,50,0.0,80.9,250,0.004,70.908,100,0.75,480.3
