arm,seed,run_seed,step,random/n,random/success,random/mean_steps,verifai/n,verifai/success,verifai/mean_steps,n_episodes,n_new,wall_time_sec
N,3,1947088435,92160,298,0.37919463087248323,137.64429530201343,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,102400,298,0.5436241610738255,110.36912751677852,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,112640,298,0.610738255033557,98.6006711409396,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,122880,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,133120,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,143360,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,153600,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,163840,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,204800,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,215040,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,225280,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,1743,1743,63.693196058273315
