arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,0.0003,163840,282,0.34397163120567376,0.3233333333333333,389.0851063829787,138,0.34057971014492755,0.31333333333333335,398.5144927536232,93,0.26881720430107525,0.25,386.40860215053766,95,0.3684210526315789,0.35,399.9263157894737,96,0.3333333333333333,0.32,387.28125,92,0.44565217391304346,0.41,400.4782608695652,99,0.29292929292929293,0.29,355.16161616161617,272,0.29411764705882354,0.25,395.35661764705884,2114,2114,85.18065977096558
N,2,0.0003,184320,282,0.9893617021276596,0.93,497.86879432624113,138,0.9927536231884058,0.9133333333333333,499.84057971014494,93,1.0,0.93,500.0,95,0.9894736842105263,0.94,498.5263157894737,96,1.0,0.96,500.0,92,0.9891304347826086,0.91,499.29347826086956,99,0.98989898989899,0.98,499.80808080808083,272,0.8970588235294118,0.7625,476.3860294117647,2114,2114,85.18065977096558
N,2,0.0003,204800,282,0.9858156028368794,0.9266666666666666,495.68794326241135,138,1.0,0.92,500.0,93,0.978494623655914,0.91,490.78494623655916,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9891304347826086,0.91,495.25,99,0.9797979797979798,0.97,490.54545454545456,272,0.9558823529411765,0.8125,486.2720588235294,2114,2114,85.18065977096558
N,2,0.0003,225280,282,0.9574468085106383,0.9,494.0673758865248,138,0.9855072463768116,0.9066666666666666,499.3985507246377,93,0.989247311827957,0.92,495.5376344086022,95,0.9789473684210527,0.93,498.66315789473686,96,1.0,0.96,500.0,92,0.967391304347826,0.89,494.75,99,0.9595959595959596,0.95,492.14141414141415,272,0.9375,0.796875,489.5772058823529,2114,2114,85.18065977096558
N,2,0.0003,245760,282,0.9893617021276596,0.93,498.709219858156,138,1.0,0.92,500.0,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9891304347826086,0.91,499.4891304347826,99,1.0,0.99,500.0,272,0.9669117647058824,0.821875,493.8492647058824,2114,2114,85.18065977096558
N,2,0.0003,266240,282,0.07446808510638298,0.07,225.59929078014184,138,0.021739130434782608,0.02,216.07971014492753,93,0.0,0.0,209.70967741935485,95,0.021052631578947368,0.02,219.82105263157894,96,0.0,0.0,208.63541666666666,92,0.09782608695652174,0.09,240.34782608695653,99,0.050505050505050504,0.05,216.7070707070707,272,0.15441176470588236,0.13125,245.87132352941177,2114,2114,85.18065977096558
N,2,0.0003,286720,282,0.03546099290780142,0.03333333333333333,187.67375886524823,138,0.007246376811594203,0.006666666666666667,189.7753623188406,93,0.0,0.0,184.3978494623656,95,0.0,0.0,192.38947368421051,96,0.0,0.0,178.90625,92,0.03260869565217391,0.03,197.69565217391303,99,0.04040404040404041,0.04,183.31313131313132,272,0.09558823529411764,0.08125,205.95955882352942,2114,2114,85.18065977096558
N,2,0.0003,307200,282,0.5567375886524822,0.5233333333333333,420.56028368794324,138,0.5362318840579711,0.49333333333333335,443.0217391304348,93,0.40860215053763443,0.38,444.6236559139785,95,0.5473684210526316,0.52,440.0210526315789,96,0.5729166666666666,0.55,428.15625,92,0.5760869565217391,0.53,430.05434782608694,99,0.47474747474747475,0.47,390.3333333333333,272,0.6617647058823529,0.5625,451.83088235294116,2114,2114,85.18065977096558
N,2,0.0003,327680,282,0.8120567375886525,0.7633333333333333,478.6418439716312,138,0.9130434782608695,0.84,493.42028985507244,93,0.956989247311828,0.89,494.60215053763443,95,0.9263157894736842,0.88,491.34736842105264,96,0.8645833333333334,0.83,488.5104166666667,92,0.8695652173913043,0.8,485.04347826086956,99,0.7777777777777778,0.77,473.26262626262627,272,0.8786764705882353,0.746875,484.9889705882353,2114,2114,85.18065977096558
N,2,0.0003,348160,282,0.9468085106382979,0.89,491.21985815602835,138,0.9855072463768116,0.9066666666666666,499.42753623188406,93,0.989247311827957,0.92,499.5376344086022,95,1.0,0.95,500.0,96,0.9791666666666666,0.94,499.2395833333333,92,0.9456521739130435,0.87,489.69565217391306,99,0.9595959595959596,0.95,493.42424242424244,272,0.9411764705882353,0.8,491.6727941176471,2114,2114,85.18065977096558
